Flight No.,"Version,Booster[b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
90,,F9 B5B1058.3565,,"~12,500 kg",LEO,NASA,,,,,,,,,,Crew-1,"Success
",F9 B5B1058.3565,"Success
",30 August 2020,12:46:14
91,,F9 B5B1051.6568,,"1,192 kg",LEO,Sirius XM,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5B1051.6568,"Success
",3 September 2020,11:29:34
92,,F9 B5,,"15,600 kg",LEO,NRO,,,,,,,,,,Starlink,"Success
",F9 B5,"Success
",6 October 2020,12:25:57
93,,F9 B5,,"2,972 kg",GTO,Türksat,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5,"Success
",18 October 2020,15:31:34
94,,F9 B5[,,"7,000 kg",LEO,SpaceX,,,,,,,,,,SXM-7,"Success
",F9 B5[,"Success
",24 October 2020,23:24:23
95,,F9 B5,,C,GTO,Various,,,,,,,,,,NROL-108,"Success
",F9 B5,"Success
",5 November 2020,00:27
96,,F9 B5 ♺[,,"3,500 kg",LEO,SpaceX,,,,,,,,,,Türksat 5A,"Success
",F9 B5 ♺[,"Success
",16 November 2020,17:17:08
97,,F9 B5 ♺[,,"15,600 kg",SSO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺[,"Success
",21 November 2020,02:13
98,,F9 B5 ♺,,"~5,000 kg",LEO,SpaceX,,,,,,,,,,Transporter-1,"Success
",F9 B5 ♺,"Success
",25 November 2020,16:17:08
99,,F9 B5 ♺,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,"Success
",6 December 2020,17:30:00
100,,F9 B5,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5,"Success
",13 December 2020,14:00:00
101,,F9 B5B1051.8609,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1051.8609,"Success
",19 December 2020,02:15
102,,F9 B5B1058.5613,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1058.5613,"Success
",8 January 2021,13:02
103,,F9 B5 ♺[,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,"Success
",F9 B5 ♺[,"Success
",20 January 2021,15:00
104,,F9 B5 ♺,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,"Success
",24 January 2021,06:19
105,,F9 B5 ♺[,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺[,"Success
",4 February 2021,03:59:37
106,,F9 B5 ♺[,,"~13,000 kg",LEO,SpaceX,,,,,,,,,,Crew-2,"Success
",F9 B5 ♺[,"Success
",16 February 2021,08:24
107,,F9 B5 ♺,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,"Success
",4 March 2021,08:13:29
108,,F9 B5B1060.6643,,"15,600 kg",LEO,SpaceX,,,,,,,,,,Starlink,"Success
",F9 B5B1060.6643,"Success
",11 March 2021,10:01
109,,F9 B5 ♺,,"15,600 kg",LEO,NASA,,,,,,,,,,Starlink,,F9 B5 ♺,,14 March 2021,08:28
110,,F9 B5B1061.2647,,"~14,000 kg",LEO,Sirius XM,,,,,,,,,,Starlink,,F9 B5B1061.2647,,24 March 2021,16:34
111,,F9 B5B1060.7652,,"15,600 kg",LEO,,,,,,,,,,,Starlink,,F9 B5B1060.7652,,7 April 2021,9:49
112,,F9 B5B1049.9655,,"3,328 kg",GTO,,,,,,,,,,,SpaceX CRS-22,,F9 B5B1049.9655,,23 April 2021,03:44
113,,F9 B5B1051.10657,,"7,000 kg",,,,,,,,,,,,SXM-8,,F9 B5B1051.10657,,29 April 2021,19:01
114,,F9 B5B1058.8660,,,,,,,,,,,,,,,,F9 B5B1058.8660,,4 May 2021,06:42
115,,F9 B5B1063.2665,,,,,,,,,,,,,,,,F9 B5B1063.2665,,9 May 2021,22:56
116,,F9 B5B1067.1668,,,,,,,,,,,,,,,,F9 B5B1067.1668,,15 May 2021,18:59
117,,F9 B5,,,,,,,,,,,,,,,,F9 B5,,26 May 2021,17:29
118,,,,,,,,,,,,,,,,,,,,3 June 2021,04:26
119,,,,,,,,,,,,,,,,,,,,6 June 2021,
120,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,
